delay,distance,gamma,latsrc,lattgt,lonsrc,lontgt
127,3.1744030434744137,0.100209,41.88235,41.9071,-87.763,-87.711
105,9.588094502822369,0.12504,41.7856,41.9071,-87.62100000000001,-87.711
22,8.14207502028693,0.454704,41.79235,41.9071,-87.67500000000001,-87.711
159,4.446982445718217,0.124172,41.90035,41.9071,-87.625,-87.711
70,12.966215464206334,0.120886,41.75635,41.9071,-87.561,-87.711
187,13.836961321133959,0.122996,41.7451,41.9071,-87.553,-87.711
79,9.378387481040395,0.109603,41.77435,41.9071,-87.673,-87.711
128,4.490402633453203,0.131618,41.895849999999996,41.9071,-87.625,-87.711
83,1.9996581789710381,0.104584,41.8801,41.9071,-87.725,-87.711
96,12.082178868364853,0.104927,41.751850000000005,41.9071,-87.60300000000001,-87.711
9,7.234332355964347,0.125138,41.830600000000004,41.9071,-87.61500000000001,-87.711
170,0.9385627846371811,0.148558,41.904849999999996,41.9071,-87.729,-87.711
154,3.06625599934495,0.15184,41.86435,41.9071,-87.727,-87.711
192,9.741048712062929,0.116512,41.7856,41.9071,-87.61500000000001,-87.711
186,1.0194612986368297,0.128952,41.8936,41.9071,-87.703,-87.711
184,10.087715176584917,0.117507,41.78335,41.9071,-87.607,-87.711
197,2.8541900925517676,0.115876,41.8801,41.9071,-87.753,-87.711
128,14.708851076957401,0.104811,41.733850000000004,41.9071,-87.545,-87.711
85,12.106877000248959,0.10565,41.7631,41.9071,-87.577,-87.711
124,9.927047038299266,0.103343,41.7721,41.9071,-87.64500000000001,-87.711
50,5.0748452717963435,0.106133,41.8711,41.9071,-87.625,-87.711
80,4.318913235999121,0.121855,41.8936,41.9071,-87.62899999999999,-87.711
85,4.01818801637333,0.0999867,41.8936,41.9071,-87.63499999999999,-87.711
151,14.358595893314918,0.153877,41.733850000000004,41.9071,-87.557,-87.711
118,3.06625599934495,0.112117,41.86435,41.9071,-87.727,-87.711
59,1.935119591379566,0.103251,41.8801,41.9071,-87.701,-87.711
117,9.22639615200721,0.115504,41.7766,41.9071,-87.673,-87.711
180,3.8840788728857762,0.109486,41.895849999999996,41.9071,-87.637,-87.711
116,4.202459468686016,0.115239,41.84635,41.9071,-87.707,-87.711
176,4.424242884144204,0.155472,41.8801,41.9071,-87.63300000000001,-87.711
112,11.159269244896477,0.125957,41.7496,41.9071,-87.66300000000001,-87.711
63,11.97327618882784,0.110082,41.769850000000005,41.9071,-87.56899999999999,-87.711
75,3.115999386278069,0.09986,41.8621,41.9071,-87.715,-87.711
104,2.644820273048172,0.118077,41.868849999999995,41.9071,-87.709,-87.711
76,12.313150507206268,0.100355,41.74735,41.9071,-87.60499999999999,-87.711
118,14.78882862186808,0.101621,41.72935,41.9071,-87.551,-87.711
184,11.056659689622258,0.110968,41.7496,41.9071,-87.673,-87.711
200,11.600972615819176,0.124047,41.7721,41.9071,-87.577,-87.711
102,4.517723682735095,0.105271,41.8801,41.9071,-87.631,-87.711
85,4.013937677928626,0.106942,41.904849999999996,41.9071,-87.63300000000001,-87.711
185,3.093389594176755,0.200195,41.8846,41.9071,-87.763,-87.711
191,2.6605025835849863,0.140505,41.886849999999995,41.9071,-87.755,-87.711
127,2.7454767119266092,0.103162,41.8846,41.9071,-87.755,-87.711
114,2.2952903570942595,0.107745,41.8801,41.9071,-87.737,-87.711
186,3.343146845891516,0.111649,41.859849999999994,41.9071,-87.725,-87.711
94,13.524692881435746,0.12417,41.751850000000005,41.9071,-87.551,-87.711
191,14.531494796692593,0.100929,41.733850000000004,41.9071,-87.551,-87.711
173,10.406265596922468,0.108796,41.778850000000006,41.9071,-87.60499999999999,-87.711
24,3.191847789106971,0.101823,41.90935,41.9071,-87.773,-87.711
184,4.550868703238827,0.127351,41.88235,41.9071,-87.62899999999999,-87.711
108,13.524692881435746,0.17029,41.751850000000005,41.9071,-87.551,-87.711
195,2.3318989682867484,0.144567,41.87335,41.9071,-87.711,-87.711
156,9.526393179270503,0.108688,41.77435,41.9071,-87.661,-87.711
185,2.644820273048172,0.107552,41.868849999999995,41.9071,-87.709,-87.711
187,3.7055253092505396,0.104343,41.90935,41.9071,-87.63900000000001,-87.711
186,1.9649629236308235,0.410225,41.8801,41.9071,-87.699,-87.711
196,4.228136247518319,0.114308,41.9026,41.9071,-87.62899999999999,-87.711
186,10.1427160039933,0.102147,41.78335,41.9071,-87.60499999999999,-87.711
197,4.836278558128333,0.111407,41.963350000000005,41.9071,-87.655,-87.711
163,2.672699192132588,0.5941,41.8891,41.9071,-87.757,-87.711
197,8.585469194201027,0.102642,41.79235,41.9071,-87.64699999999999,-87.711
179,6.299796491099131,0.169884,41.99035,41.9071,-87.661,-87.711
102,13.524692881435746,0.108507,41.751850000000005,41.9071,-87.551,-87.711
161,10.061541081819971,0.154261,41.7811,41.9071,-87.613,-87.711
149,4.712288299928224,0.104232,41.9611,41.9071,-87.655,-87.711
103,2.368138551181468,0.106352,41.877849999999995,41.9071,-87.68700000000001,-87.711
110,11.462694754190467,0.111723,41.7451,41.9071,-87.66300000000001,-87.711
2,9.730998305137781,0.286029,41.7676,41.9071,-87.685,-87.711
114,3.203129320572918,0.104474,41.9116,41.9071,-87.649,-87.711
68,4.454872722182413,0.403554,41.89135,41.9071,-87.62700000000001,-87.711
98,13.15250442309351,0.126319,41.7541,41.9071,-87.559,-87.711
182,4.446982445718217,0.138559,41.90035,41.9071,-87.625,-87.711
131,8.014417249818315,0.112931,42.0196,41.9071,-87.673,-87.711
92,10.053305317193168,0.104092,41.7631,41.9071,-87.68299999999999,-87.711
193,8.759498735235308,0.105143,41.81035,41.9071,-87.601,-87.711
197,12.617509845016864,0.111488,41.7361,41.9071,-87.625,-87.711
184,6.93673140124989,0.100232,41.81035,41.9071,-87.67500000000001,-87.711
41,12.91170228138903,0.215072,41.7541,41.9071,-87.56700000000001,-87.711
3,0.0,0.198179,41.9071,41.9071,-87.711,-87.711
109,3.0182145804069482,0.116752,41.886849999999995,41.9071,-87.763,-87.711
74,13.031032449403044,0.110884,41.7541,41.9071,-87.56299999999999,-87.711
109,11.579590095093524,0.114742,41.74735,41.9071,-87.643,-87.711
195,2.4038633357841044,0.102852,41.8891,41.9071,-87.751,-87.711
193,4.836278558128333,0.102703,41.963350000000005,41.9071,-87.655,-87.711
95,0.8069300784219174,0.100684,41.8981,41.9071,-87.721,-87.711
170,13.15753894523919,0.262686,41.751850000000005,41.9071,-87.56299999999999,-87.711
71,4.6934792753254415,0.102079,41.8891,41.9071,-87.62299999999999,-87.711
172,8.482784970366865,0.107056,41.7946,41.9071,-87.64500000000001,-87.711
184,8.977656652426843,0.102226,41.778850000000006,41.9071,-87.68299999999999,-87.711
39,4.638951218800022,0.142153,41.886849999999995,41.9071,-87.625,-87.711
43,4.318913235999121,0.400345,41.8936,41.9071,-87.62899999999999,-87.711
196,8.304424611226123,0.117925,41.79235,41.9071,-87.66300000000001,-87.711
122,14.286817439669314,0.100703,41.7361,41.9071,-87.555,-87.711
77,0.6302877943980798,0.105385,41.8981,41.9071,-87.713,-87.711
145,9.383984708459696,0.246848,41.778850000000006,41.9071,-87.65100000000001,-87.711
69,12.905158574004014,0.118987,41.75635,41.9071,-87.56299999999999,-87.711
200,10.247714116150862,0.106571,41.778850000000006,41.9071,-87.61099999999999,-87.711
0,0.0,1.0,41.9071,41.9071,-87.711,-87.711
69,14.76379449502246,0.329439,41.702349999999996,41.9071,-87.62899999999999,-87.711
140,4.396699059436335,0.128734,41.8891,41.9071,-87.62899999999999,-87.711
132,4.7421469897389725,0.101343,41.88235,41.9071,-87.625,-87.711
120,1.7589536634830814,0.109126,41.8846,41.9071,-87.727,-87.711
193,11.462694754190467,0.103302,41.7451,41.9071,-87.66300000000001,-87.711
102,5.42707787512818,0.105425,41.9746,41.9071,-87.65700000000001,-87.711
146,8.48523414667746,0.252803,41.7856,41.9071,-87.68700000000001,-87.711
